AlbertPark;au-1953;58;320.0;20.0;Australia;0.061;8.0;10.0;c;80.0;80.0;146;44;91;198;139;a;125;471;a070;308;178;a130;Albert Park;Australia;105;19;90;25;10;5;10;-30;
Bahrain;bh-2002;UTC+03;218.0;105.0;Bahrain;0.069;28.0;9.55;c;0;0;25;76;94;8;210;a;373;345;a220;342;195;a120;Bahrain;Bahrain;55;55;22;39;85;-5;85;-40; 
BakuCity;az-2016;UTC+04;0;0;Azerbaijan;0.1121;4.0;12.7;a;0;0;27;1;66;460;372;a;225;264;a230;51;-13;a120;Baku City;Azerbaijen;110;65;80;55;10;5;10;-30;
GillesVilleneuve;ca-1978;0615;82.0;127.0;Canada;0.118;5.0;10.0;c;0;0;3;73;38;434;117;a;100;114;a000;148;399;a020;Gilles Villeneuve;Canada;100;15;80;20;10;5;10;-30;
HermanosRodríguez;mx-1962;1026;60.0;100.0;Mexico;0.0665;3.2;22.0;c;0;0;24;68;102;91;490;a;389;90;a220;86;334;a280;Hermanos Rodríguez;Mexico;80;30;80;18;10;5;10;-30; 
Hungaroring;hu-1986;0803;0;0;Hungary;0.113;2.0;27.0;c;0;0;141;102;38;220;75;a;462;133;a220;249;348;a040;Hungaroring;Hungary;63;68;47;30;85;-5;85;-40;
Istanbul;tr-2005;0803;200.0;120.0;Turkey;0.113;2.0;27.0;a;0;0;68;35;86;220;75;a;462;133;a220;249;348;a040;Istanbul Park;Turkey;63;68;47;30;85;-5;85;-40;
JeddahCorniche;sa-2021;UTC+03;0;0;Saudi_Arabia;0.075;2.7;9.5;a;0;0;108;49;149;370;115;a;185;415;a350;159;194;a050;Jeddah Corniche;Saudi Arabia;14;38;15;35;85;-5;85;-40;
JoseCarlosPace;br-1940;1109;99.0;70.0;Brazil;0.056;18.0;10.0;a;0;0;0;34;130;49;141;a;435;200;a020;264;388;a060;Jose Carlos Pace;Brazil;92;33;75;40;10;5;10;-30;
LasVegas;us-2023;1123;50.0;120.0;USA_Nevada;0.088;37.0;8.5;a;0;0;0;15;40;422;29;a;376;310;a090;63;411;a230;Las Vegas;Las Vegas;113;35;79;25;10;5;10;-30;
Lusail;qa-2004;1130;220.0;103.0;Qatar;0.115;12.0;9.0;c;0;0;34;80;108;81;178;a;250;423;a220;387;216;a090;Lusail;Qatar;75;65;50;28;10;5;85;-40;
Madring;es-2026;1309;165.0;120.0;Spain;0.0423;3.0;25.0;c;0;0;1;34;84;289;22;a;5;270;a330;93;260;a120;Madring;Spain;58;64;20;50;85;-5;85;-40;
MarinaBay;sg-2008;1005;270.0;90.0;Singapore;0.0423;3.0;25.0;a;0;0;115;82;34;489;315;a;168;365;a320;108;205;a010;Marina Bay;Singapore;72;42;58;40;10;5;85;-40;
Miami;us-2022;0504;70.0;114.0;USA_Florida;0.102;15.0;10.5;a;0;0;36;79;95;198;385;a;456;445;a280;33;68;a130;Miami;Miami;129;22;92;17;10;5;10;-30;
Monaco;mc-1929;0525;0;0;Monaco;0.11;26.0;9.5;c;0;0;122;73;7;0;175;a;26;211;a220;364;453;a040;Monaco;Monaco;60;55;35;43;85;-5;85;-40;
Monza;it-1922;0907;0;0;Italy;0.0855;30.0;10.0;c;0;0;122;77;33;3;111;a;150;265;a250;175;448;a080;Monza;Italy;35;90;25;55;85;-5;85;-40;
Portimão;pt-2008;0907;160.0;120.0;Portugal;0.0855;30.0;10.0;c;0;0;61;101;23;3;111;a;150;265;a250;175;448;a080;Portimão;Portugal;35;90;25;55;85;-5;85;-40;
RedBullRing;at-1969;0629;0;0;Austria;0.109;2.0;27.0;c;0;0;0;14;49;333;52;a;37;380;a330;125;301;a160;Redbull Ring;Austria;74;37;76;30;10;5;10;-30;
Shanghai;cn-2004;UTC+08;0;0;China;0.096;3.0;20.0;c;0;0;141;95;45;133;52;a;14;218;a350;215;385;a340;Shanghai;China;90;45;95;35;10;5;10;-30;
Silverstone;gb-1948;0706;0;0;United_Kingdom;0.081;38.0;11.0;c;0;0;34;106;70;11;141;a;408;173;a230;179;425;a290;Silverstone;Great Britain;91;43;97;30;10;5;10;-30;
SpaFrancorchamps;be-1925;44;175.0;150.0;Belgium;0.118;3.5;10.0;c;30;80;152;30;104;165;432;a;475;117;a160;17;23;a290;Spa Franchorchamps;Belgium;108;56;70;40;10;5;10;-30;
Suzuka;jp-1962;UTC+09;310.0;130.0;Japan;0.19;15.0;11.0;c;0;0;172;61;134;383;333;a;241;222;a220;96;311;a130;Suzuka;Japan;65;45;50;15;10;5;85;-40;
theAmericas;us-2012;1019;58.0;117.0;USA_Texas;0.075;15.0;10.0;a;0;0;107;56;171;39;194;a;181;331;a160;292;296;a140;the Americas;United States;92;49;75;50;10;5;10;-30;
YasMarina;ae-2009;1207;226.0;100.0;United_Arab_Emirates;0.105;5.0;11.0;a;0;0;115;26;70;215;250;a;265;390;a350;345;4;a100;Yas Marina;Abu Dhabi;85;65;60;35;10;5;10;-30;
