team-colour #1868DB  accessible-colour #000681
team-colour #229971  accessible-colour #00482C
team-colour #00D7B6  accessible-colour #007560
team-colour #9C9FA2  accessible-colour #4D5052
team-colour #01C00E  accessible-colour #006300
team-colour #00A1E8  accessible-colour #005081
team-colour #6C98FF  accessible-colour #2345AB
team-colour #ED1131  accessible-colour #710006
team-colour #F47600  accessible-colour #863400
team-colour #4781D7  accessible-colour #003282
